  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  3.188101808022238137E-03  9.999999999999997780E-01  5.204170427930421283E-18  8.673617379884035472E-18  0.000000000000000000E+00  9.942568941457409215E-01  1.858902483624988444E-01  8.083666457832421326E-01
  3.308834770421710016E-03  1.000000000000000222E+00 -3.469446951953614189E-18 -6.938893903907228378E-18  0.000000000000000000E+00  9.942568941457421428E-01  1.860978225172670308E-01  8.081590716284744458E-01
  3.432681511747683652E-03  9.999999999999997780E-01 -6.938893903907228378E-18 -3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457412546E-01  1.858130058687507968E-01  8.084438882769904300E-01
  3.559257926543556421E-03  1.000000000000000222E+00 -8.673617379884035472E-18 -2.255140518769849223E-17  0.000000000000000000E+00  9.942568941457416987E-01  1.859387228416726212E-01  8.083181713040686889E-01
  3.688501561711636685E-03  1.000000000000000222E+00 -1.387778780781445676E-17 -3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457418097E-01  1.861989423328496152E-01  8.080579518128925276E-01
  3.820602911213236141E-03  1.000000000000000444E+00  3.469446951953614189E-18 -1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457422538E-01  1.858255104077386477E-01  8.084313837380036061E-01
  3.955849292577980937E-03  1.000000000000000444E+00  1.734723475976807094E-18 -6.938893903907228378E-18  0.000000000000000000E+00  9.942568941457426979E-01  1.860793467072553442E-01  8.081775474384872426E-01
  4.094346752418303453E-03  9.999999999999998890E-01 -8.673617379884035472E-18 -3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457426979E-01  1.862755780029896613E-01  8.079813161427523704E-01
  4.235482450193963321E-03  1.000000000000000000E+00  1.734723475976807094E-18 -1.214306433183764966E-17  0.000000000000000000E+00  9.942568941457433640E-01  1.863156816011360961E-01  8.079412125446068238E-01
  4.379240338531957197E-03  1.000000000000000222E+00 -5.204170427930421283E-18  5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457434750E-01  1.866216005918682475E-01  8.076352935538750888E-01
  4.524875465626644264E-03  1.000000000000000222E+00 -3.469446951953614189E-18 -1.040834085586084257E-17  0.000000000000000000E+00  9.942568941457430309E-01  1.867416849814411139E-01  8.075152091643023056E-01
  4.672871506994240309E-03  1.000000000000000222E+00  1.734723475976807094E-17  2.255140518769849223E-17  0.000000000000000000E+00  9.942568941457436971E-01  1.871162608926307258E-01  8.071406332531129157E-01
  4.822789362058465742E-03  1.000000000000000444E+00 -1.734723475976807094E-18  8.673617379884035472E-18  0.000000000000000000E+00  9.942568941457440301E-01  1.872983996852204680E-01  8.069584944605238119E-01
  4.974223766252377360E-03  1.000000000000000666E+00  2.949029909160572061E-17  3.122502256758252770E-17  0.000000000000000000E+00  9.942568941457435860E-01  1.875628197316750456E-01  8.066940744140687070E-01
  5.126811988586647655E-03  9.999999999999996669E-01 -1.561251128379126385E-17 -1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457432530E-01  1.881110384600027108E-01  8.061458556857412638E-01
  5.280289956048300065E-03  9.999999999999998890E-01  1.734723475976807094E-17  3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457420317E-01  1.881799520029779349E-01  8.060769421427661507E-01
  5.434499024711970938E-03  1.000000000000000444E+00  5.204170427930421283E-18  7.754950408047039150E-62  0.000000000000000000E+00  9.942568941457413656E-01  1.885029993825456940E-01  8.057538947631980308E-01
  5.589508548632556896E-03  1.000000000000000222E+00  3.469446951953614189E-18 -1.214306433183764966E-17  0.000000000000000000E+00  9.942568941457420317E-01  1.890176534922856089E-01  8.052392406534589764E-01
  5.745381896825067260E-03  1.000000000000000000E+00 -5.204170419678554880E-18 -3.469446943701747786E-18  0.000000000000000000E+00  9.942568941457429199E-01  1.891548086588831779E-01  8.051020854868614629E-01
  5.902126550521578571E-03  1.000000000000000222E+00  6.938894904806492344E-18  1.908195923664414046E-17  0.000000000000000000E+00  9.942568941457435860E-01  1.895310252193933565E-01  8.047258689263517839E-01
  6.059680084513998678E-03  1.000000000000000222E+00 -1.561245397613755239E-17 -5.204113120276711367E-18  0.000000000000000000E+00  9.942568941457433640E-01  1.898959619909997842E-01  8.043609321547444679E-01
  6.217893302642634422E-03  1.000000000000000000E+00 -3.467722676596086892E-18 -1.732999200619279798E-18  0.000000000000000000E+00  9.942568941457434750E-01  1.902667413519889827E-01  8.039901527937546311E-01
  6.376750639550592646E-03  1.000000000000000000E+00 -3.802874166060491495E-17 -4.843708251646575752E-17  0.000000000000000000E+00  9.942568941457442522E-01  1.907386798460203592E-01  8.035182142997250310E-01
  6.535656462333094482E-03  9.999999999999997780E-01  3.052673337165635293E-17  3.746562727556357515E-17  0.000000000000000000E+00  9.942568941457445852E-01  1.909733079514002729E-01  8.032835861943441458E-01
  6.693705755547492940E-03  1.000000000000000000E+00 -2.626889688891573544E-18  6.046727690992461928E-18  0.000000000000000000E+00  9.942568941457443632E-01  1.913423182050775773E-01  8.029145759406673966E-01
  6.850702062665812823E-03  1.000000000000000000E+00  1.049941313315808412E-17  1.743830703706531249E-17  0.000000000000000000E+00  9.942568941457445852E-01  1.918650784274871790E-01  8.023918157182570177E-01
  7.006434230404081850E-03  9.999999999999997780E-01  1.447375759812101455E-17  3.182099235879785326E-17  0.000000000000000000E+00  9.942568941457450293E-01  1.921069691595473639E-01  8.021499249861967495E-01
  7.160848387578109403E-03  9.999999999999995559E-01 -1.250595857367777253E-17 -1.597540552886256099E-17  0.000000000000000000E+00  9.942568941457454734E-01  1.923295852126579164E-01  8.019273089330873905E-01
  7.314325269580831609E-03  9.999999999999996669E-01 -5.204170427930421283E-18  3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457429199E-01  1.927591427755760423E-01  8.014977513701639911E-01
  7.467526189482627010E-03  1.000000000000000000E+00 -2.255140518769849223E-17 -1.040834085586084257E-17  0.000000000000000000E+00  9.942568941457428089E-01  1.930127802950794280E-01  8.012441138506609661E-01
  7.620463402322859986E-03  1.000000000000000666E+00 -3.816391647148975608E-17 -2.081668171172168513E-17  0.000000000000000000E+00  9.942568941457435860E-01  1.932669449312208187E-01  8.009899492145202693E-01
  7.773874521103158949E-03  1.000000000000000222E+00  2.081668171172168513E-17  5.204170427930421283E-17  0.000000000000000000E+00  9.942568941457436971E-01  1.935525644563775849E-01  8.007043296893637807E-01
