  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.044410462897893367E-03  5.577901915999183835E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.378840961104336016E-03
  1.254125662897893293E-03  5.414609947144141122E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.162297003740956874E-03
  1.566522571554664588E-03  5.251566032548197205E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.053111993945051544E-03
  1.878919915776573659E-03  5.088879293673441717E-01                       NaN                       NaN                       NaN                       NaN                       NaN  2.926198812769569176E-03
  2.191317728690877521E-03  4.926623061238111223E-01                       NaN                       NaN                       NaN                       NaN                       NaN  2.763225725414302641E-03
  2.503715862996738848E-03  4.764425489263873215E-01                       NaN                       NaN                       NaN                       NaN                       NaN  2.548938301119895236E-03
  2.816114279625847421E-03  4.602431087245870689E-01                       NaN                       NaN                       NaN                       NaN                       NaN  2.240748266426739917E-03
  3.128513015432851912E-03  4.440792234262496141E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.931217790097432621E-03
  3.440912103584672053E-03  4.280798053679967241E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.638757626904845978E-03
  3.753311549458738985E-03  4.124066574753197933E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.347676657951817503E-03
  4.066963004605671575E-03  3.969203754560436948E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.075538045166937479E-03
  4.381091573695687462E-03  3.815952137108191700E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.628716884460877163E-04
  4.695772622265364203E-03  3.668012665355827595E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.443815492380634360E-04
  5.044362299996112305E-03  3.522855310596784695E-01                       NaN                       NaN                       NaN                       NaN                       NaN  2.000255635823600846E-04
  5.741541655457607640E-03  3.378774676504083252E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.208336915739277418E-05
  7.135900366380599179E-03  3.235786384448606223E-01                       NaN                       NaN                       NaN                       NaN                       NaN  8.100760403187761845E-06
  9.924617788226581389E-03  3.094177246802173875E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.735443115296489799E-06
  1.550205263191854754E-02  2.953796387423424097E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.384490966796782541E-06
  2.665692231930247985E-02  2.814636231187340742E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.036590576171805610E-06
  4.896666169407034447E-02  2.679443360107104932E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.698608398437439034E-06
  9.358614044360608064E-02  2.550506592541866846E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.376266479492132389E-06
  9.358614044360608064E-02  2.550506592541852413E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.376266479492105284E-06
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000000222E+00  6.866973364850399442E-01  1.734723475976807094E-16  0.000000000000000000E+00  2.788095440886188658E+00  1.793838546740398998E+00  9.942568941457526899E-01
